"time","remote_ip","remote_user","request","response","bytes","referrer","agent"
"17/May/2015:08:05:35 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:51 +0000","5.83.131.103","-","GET /downloads/product_1 HTTP/1.1","200","490","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:08:05:59 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.17)"
"17/May/2015:08:05:42 +0000","200.6.73.40","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:48 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","404","324","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.17)"
"17/May/2015:08:05:58 +0000","93.180.71.3","-","GET /downloads/product_1 HTTP/1.1","404","337","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)"
"17/May/2015:08:05:39 +0000","62.75.198.179","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:41 +0000","50.57.209.92","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:48 +0000","188.138.60.101","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:02 +0000","46.4.66.76","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
"17/May/2015:08:05:25 +0000","50.57.209.92","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:04 +0000","91.239.186.133","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:08 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:04 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:33 +0000","93.190.71.150","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:57 +0000","91.234.194.89","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:20 +0000","46.4.83.163","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:39 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","404","335","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:07 +0000","54.187.216.43","-","GET /downloads/product_2 HTTP/1.1","200","951","-","urlgrabber/3.9.1 yum/3.4.3"
"17/May/2015:08:05:59 +0000","50.57.209.92","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:02 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:07 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","404","332","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:31 +0000","5.83.131.103","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:08:05:14 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","404","334","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:46 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:08:05:01 +0000","50.57.209.92","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:41 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:52 +0000","37.26.93.214","-","GET /downloads/product_2 HTTP/1.1","200","3318","-","Go 1.1 package http"
"17/May/2015:08:05:19 +0000","23.23.226.37","-","GET /downloads/product_2 HTTP/1.1","200","2578","-","urlgrabber/3.9.1 yum/3.4.3"
"17/May/2015:08:05:20 +0000","93.180.71.3","-","GET /downloads/product_1 HTTP/1.1","404","339","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)"
"17/May/2015:08:05:56 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","404","331","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:13 +0000","62.75.198.179","-","GET /downloads/product_2 HTTP/1.1","404","346","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:10 +0000","31.22.86.126","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:58 +0000","50.57.209.92","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:11 +0000","91.239.186.133","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:00 +0000","46.4.66.76","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
"17/May/2015:08:05:23 +0000","200.6.73.40","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:13 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","404","336","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:35 +0000","93.190.71.150","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:26 +0000","91.234.194.89","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:18 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","404","333","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:23 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","404","340","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.17)"
"17/May/2015:08:05:27 +0000","217.168.17.5","-","GET /downloads/product_2 HTTP/1.1","404","339","-","Debian APT-HTTP/1.3 (0.8.10.3)"
"17/May/2015:08:05:54 +0000","46.4.83.163","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:25 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:56 +0000","50.57.209.92","-","GET /downloads/product_2 HTTP/1.1","404","340","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:52 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","404","334","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:04 +0000","188.138.60.101","-","GET /downloads/product_2 HTTP/1.1","404","340","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:11 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","404","324","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:26 +0000","134.119.20.172","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:29 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","404","331","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:44 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:14 +0000","91.121.161.213","-","GET /downloads/product_2 HTTP/1.1","200","490","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:17 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:27 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:03 +0000","37.26.93.214","-","GET /downloads/product_2 HTTP/1.1","200","490","-","Go 1.1 package http"
"17/May/2015:08:05:57 +0000","5.83.131.103","-","GET /downloads/product_1 HTTP/1.1","404","346","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:08:05:39 +0000","50.57.209.92","-","GET /downloads/product_2 HTTP/1.1","404","337","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:52 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","404","331","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:13 +0000","54.64.16.235","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.20.1)"
"17/May/2015:08:05:28 +0000","93.180.71.3","-","GET /downloads/product_1 HTTP/1.1","404","336","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)"
"17/May/2015:08:05:55 +0000","202.143.95.26","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:58 +0000","202.143.95.26","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:01 +0000","202.143.95.26","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:14 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.17)"
"17/May/2015:08:05:03 +0000","91.239.186.133","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:35 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","404","328","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:39 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:37 +0000","87.233.156.242","-","GET /downloads/product_2 HTTP/1.1","404","318","-","Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
"17/May/2015:08:05:33 +0000","62.75.198.179","-","GET /downloads/product_2 HTTP/1.1","404","340","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:16 +0000","50.57.209.92","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:53 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:08:05:34 +0000","93.190.71.150","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:38 +0000","46.4.66.76","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
"17/May/2015:08:05:09 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:58 +0000","91.234.194.89","-","GET /downloads/product_2 HTTP/1.1","404","340","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:07 +0000","217.168.17.5","-","GET /downloads/product_1 HTTP/1.1","404","341","-","Debian APT-HTTP/1.3 (0.8.10.3)"
"17/May/2015:08:05:23 +0000","46.4.83.163","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:19 +0000","50.57.209.92","-","GET /downloads/product_1 HTTP/1.1","404","335","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:46 +0000","200.6.73.40","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:28 +0000","91.121.161.213","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:52 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:22 +0000","188.138.60.101","-","GET /downloads/product_2 HTTP/1.1","404","337","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:54 +0000","144.76.151.58","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:28 +0000","134.119.20.172","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:26 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","404","337","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.17)"
"17/May/2015:09:05:55 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:08 +0000","5.83.131.103","-","GET /downloads/product_1 HTTP/1.1","404","324","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:09:05:18 +0000","93.180.71.3","-","GET /downloads/product_1 HTTP/1.1","404","341","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)"
"17/May/2015:09:05:05 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","404","340","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:25 +0000","50.57.209.92","-","GET /downloads/product_1 HTTP/1.1","404","332","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:18 +0000","5.83.131.103","-","GET /downloads/product_1 HTTP/1.1","404","345","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:09:05:56 +0000","62.75.167.106","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:42 +0000","37.26.93.214","-","GET /downloads/product_2 HTTP/1.1","404","339","-","Go 1.1 package http"
"17/May/2015:09:05:29 +0000","93.64.134.186","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:36 +0000","87.233.156.242","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
"17/May/2015:09:05:26 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:15 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:23 +0000","54.193.30.212","-","GET /downloads/product_2 HTTP/1.1","200","951","-","urlgrabber/3.9.1 yum/3.4.3"
"17/May/2015:09:05:09 +0000","62.75.198.179","-","GET /downloads/product_2 HTTP/1.1","404","337","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:46 +0000","91.239.186.133","-","GET /downloads/product_2 HTTP/1.1","404","340","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:09 +0000","83.161.14.106","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:09:05:54 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:46 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.17)"
"17/May/2015:09:05:38 +0000","93.190.71.150","-","GET /downloads/product_2 HTTP/1.1","404","337","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:40 +0000","50.57.209.92","-","GET /downloads/product_2 HTTP/1.1","404","339","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:49 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","404","324","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:25 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:09:05:09 +0000","217.168.17.5","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.10.3)"
"17/May/2015:09:05:59 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:09:05:08 +0000","54.191.136.177","-","GET /downloads/product_2 HTTP/1.1","200","951","-","urlgrabber/3.9.1 yum/3.4.3"
"17/May/2015:09:05:27 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","404","324","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:09:05:57 +0000","91.234.194.89","-","GET /downloads/product_2 HTTP/1.1","404","337","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:05 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.17)"
"17/May/2015:09:05:22 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:12 +0000","46.4.83.163","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:58 +0000","91.121.161.213","-","GET /downloads/product_2 HTTP/1.1","404","346","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:57 +0000","188.138.60.101","-","GET /downloads/product_2 HTTP/1.1","404","339","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:33 +0000","144.76.151.58","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:00 +0000","195.154.77.170","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:19 +0000","50.57.209.92","-","GET /downloads/product_2 HTTP/1.1","404","336","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:41 +0000","31.22.86.126","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:51 +0000","54.64.16.235","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.20.1)"
"17/May/2015:09:05:20 +0000","202.143.95.26","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:28 +0000","202.143.95.26","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:47 +0000","87.233.156.242","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
"17/May/2015:09:05:37 +0000","62.75.167.106","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:01 +0000","152.90.220.17","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:02 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:38 +0000","93.180.71.3","-","GET /downloads/product_1 HTTP/1.1","404","338","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)"
"17/May/2015:09:05:03 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:09:05:15 +0000","5.83.131.103","-","GET /downloads/product_1 HTTP/1.1","404","339","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:09:05:56 +0000","5.83.131.103","-","GET /downloads/product_1 HTTP/1.1","404","338","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:09:05:33 +0000","200.6.73.40","-","GET /downloads/product_1 HTTP/1.1","404","340","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:09:05:49 +0000","46.4.88.134","-","GET /downloads/product_1 HTTP/1.1","404","318","-","Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
